AQI,PM2.5,PM10,CO,No2,So2,O3
45,18,43,7,18,0.51,70
41,18,39,8,18,0.58,66
59,28,53,8,25,0.67,89
65,33,56,7,27,0.82,101
75,41,66,9,38,1.11,112
103,56,80,10,29,1.27,141
94,48,74,10,22,1.09,131
43,18,34,9,38,0.89,60
27,11,17,5,24,0.72,53
55,21,41,7,26,1.01,98
95,49,78,9,43,0.95,132
55,31,49,6,37,0.8,79
35,15,28,7,28,0.63,58
35,15,26,6,23,0.77,69
68,40,61,7,21,1.03,110
45,18,43,7,18,0.51,70
41,18,39,8,18,0.58,66
59,28,53,8,25,0.67,89
65,33,56,7,27,0.82,101
75,41,66,9,38,1.11,112
103,56,80,10,29,1.27,141
94,48,74,10,22,1.09,131
43,18,34,9,38,0.89,60
27,11,17,5,24,0.72,53
55,21,41,7,26,1.01,98
95,49,78,9,43,0.95,132
55,31,49,6,37,0.8,79
35,15,28,7,28,0.63,58
35,15,26,6,23,0.77,69
68,40,61,7,21,1.03,110
65,30,60,9,56,0.77,61
52,20,46,8,37,0.51,75
45,16,41,8,28,0.45,77
42,18,42,8,29,0.45,65
54,24,51,10,33,0.49,71
51,23,54,9,36,0.53,68
56,27,55,10,34,0.56,67
54,24,53,12,36,0.59,68
48,21,47,12,34,0.57,55
31,13,26,8,25,0.53,45
43,18,39,7,27,0.61,70
54,29,54,10,37,0.67,77
58,31,58,10,34,0.64,83
64,34,65,9,33,0.63,100
70,30,61,11,33,0.62,100
73,27,57,11,26,0.58,102
51,17,44,10,25,0.47,80
67,32,67,11,35,0.69,83
56,27,54,10,30,0.65,77
52,19,43,10,30,0.55,91
62,29,57,9,30,0.58,105
75,35,68,10,32,0.64,117
106,49,86,12,39,0.75,143
93,40,74,12,37,0.74,137
98,44,80,11,36,0.91,140
87,47,75,8,28,1.06,135
75,39,64,8,30,0.8,114
41,18,34,8,26,0.59,70
34,16,31,7,27,0.52,60
32,16,29,8,21,0.52,45
35,13,32,5,18,0.52,58
117,83,123,12,55,1.06,116
109,52,81,8,31,0.73,138
68,20,49,8,33,0.52,111
58,18,44,9,33,0.47,100
46,15,30,7,28,0.52,92
45,26,38,8,24,0.8,71
71,32,52,11,26,0.94,123
113,58,88,13,50,1.07,138
95,48,79,13,35,0.93,126
26,14,21,9,40,0.73,29
52,10,21,7,20,0.45,100
48,11,20,6,26,0.46,90
40,15,26,6,40,0.58,67
47,22,42,6,33,0.58,79
63,25,54,12,45,0.68,97
64,29,48,9,33,0.57,104
72,23,44,9,29,0.46,124
55,24,46,9,24,0.45,90
32,15,23,7,33,0.54,56
54,28,49,7,38,0.86,81
50,32,51,7,48,0.66,45
30,11,19,6,34,0.46,55
51,32,57,6,50,0.66,45
48,29,47,6,40,0.66,63
